symbol,symbol_type,exchange_name,description
NEE,stock,NYSE,
MGM,stock,NYSE,
MRNA,stock,NASDAQ,
PLUG,stock,NASDAQ,
COIN,stock,NASDAQ,
MBUU,stock,NASDAQ,
EBAY,stock,NASDAQ,
UBS,stock,NYSE,
SONY,stock,NYSE,
T,stock,NYSE,
HP,stock,NYSE,
NOK,stock,NYSE,
ORCL,stock,NYSE,
TEVA,stock,NYSE,
GRPN,stock,NASDAQ,
NIKE,stock,Dev,
PTR,stock,NYSE,
TRIP,stock,NASDAQ,
MDLZ,stock,NASDAQ,
NLOK,stock,NASDAQ,
EPE,stock,NASDAQ,
WFC,stock,NYSE,
DBX,stock,NASDAQ,
UBER,stock,NYSE,
VIPS,stock,NYSE,
MRVL,stock,NASDAQ,
BBY,stock,NYSE,
AUY,stock,NYSE,
SHOP,stock,NASDAQ,
MAR,stock,NASDAQ,
ABNB,stock,NASDAQ,
HSBC,stock,NYSE,
TSCO,stock,NASDAQ,
BP,stock,NYSE,
VOD,stock,NASDAQ,
RIO,stock,NYSE,
LLOY,stock,NASDAQ,
EZJ,stock,NYSE,
WPP,stock,NYSE,
RR,stock,NASDAQ,
BRBY,stock,NASDAQ,
GLEN,stock,NASDAQ,
HIK,stock,NASDAQ,
DAI,stock,NASDAQ,
DBK,stock,NASDAQ,
DTE,stock,NYSE,
VWAGY,stock,NASDAQ,
ALV,stock,NYSE,
BMW,stock,NASDAQ,
CBK,stock,NASDAQ,
ADS,stock,NASDAQ,
SAP,stock,NYSE,
SIE,stock,NASDAQ,
EOAN,stock,NASDAQ,
BAYN,stock,NASDAQ,
LHA,stock,NASDAQ,
VIV,stock,NYSE,
DG,stock,NYSE,
BNP,stock,NASDAQ,
GLE,stock,NASDAQ,
TTE,stock,NYSE,
MC,stock,NYSE,
ORA,stock,NYSE,
EDF,stock,NYSE,
ACA,stock,NYSE,
ML,stock,NYSE,
BAMI,stock,NYSE,
ENEL,stock,NASDAQ,
ENI,stock,NASDAQ,
PIRC,stock,NASDAQ,
STLA,stock,NYSE,
ITX,stock,NASDAQ,
SAN,stock,NYSE,
BBVA,stock,NYSE,
ENG,stock,NASDAQ,
REP,stock,NASDAQ,
CEZ,stock,NASDAQ,
PCG,stock,NYSE,
PEO,stock,NYSE,
ERIC,stock,NASDAQ,
DANSKE,stock,NASDAQ,
CA.PA,stock,NASDAQ,
VOLV-B,stock,NASDAQ,
BRk-B,stock,Dev,
SEDG,stock,NASDAQ,
FSLR,stock,NASDAQ,
CWEN,stock,NYSE,
CWEN.A,stock,NYSE,
BEPC,stock,NYSE,
BEP,stock,NYSE,
CHPT,stock,NYSE,
